TAZID,ALLEMP_Max,ALLEMP_Min,AVGINCOME_Max,AVGINCOME_Min,Enrol_Elem_Max,Enrol_Elem_Min,Enrol_High_Max,Enrol_High_Min,Enrol_Midl_Max,Enrol_Midl_Min,FM_AGRI_Max,FM_AGRI_Min,FM_CONS_Max,FM_CONS_Min,FM_MING_Max,FM_MING_Min,FOOD_Max,FOOD_Min,GVED_Max,GVED_Min,HBJ_Max,HBJ_Min,HHPOP_Max,HHPOP_Min,HHSIZE_Max,HHSIZE_Min,HLTH_Max,HLTH_Min,INDEMP_Max,INDEMP_Min,MANU_Max,MANU_Min,OFFI_Max,OFFI_Min,OTHEMP_Max,OTHEMP_Min,OTHR_Max,OTHR_Min,RETEMP_Max,RETEMP_Min,RETL_Max,RETL_Min,TOTEMP_Max,TOTEMP_Min,TOTEMP_Range,TOTHH_Max,TOTHH_Min,TOTHH_Range,WSLE_Max,WSLE_Min,CO_TAZID,CO_FIPS,CO_NAME
3416,13107.38244,6457.035115,120577,120577,0,0,0,0,0,0,5.004611128,3.001843884,562.3386557,455.0250764,0,0,535,180,2359,1514,43.03917184,22.00819435,2111.918859,1055.195275,3.025671718,2.989221743,1145,596,937,171,739,133,2946,1205,9352,5422,2902,2107,2208,384,1673,204,12497,5977,6520,698,353,345,198,38,491200,49,UTAH
1131,7597.154373,977.647118,50921,50921,0,0,0,0,0,0,0,0,356.1601643,74.64773219,0,0,1979,284,2,0,32.99420824,1.999385803,1163.447337,63.38825212,2.591196742,2.881284187,749,16,4,1,1,0,3365,425,5221,615,1105,174,1983,285,4,1,7208,901,6307,449,22,427,3,1,350226,35,SALT LAKE
1887,7352.615737,1341.890324,45830,45830,0,0,0,0,0,0,0,0,334.6287902,130.8823571,0,0,504,30,1106,91,84.98694632,33.00796699,2879.546661,1042.194835,2.467477858,2.305740786,26,2,1063,51,1063,51,1959,180,5143,1024,2052,751,727,103,223,73,6933,1178,5755,1167,452,715,0,0,350982,35,SALT LAKE
704,9411.00984,3572.155298,51122,51122,0,0,0,0,0,0,0,0,520.0238723,404.0853064,0,0,2360,1013,511,145,117.9859674,84.06999167,6627.374949,4739.035733,2.401222807,2.395872463,2922,321,7,1,5,1,797,310,5482,1626,1252,850,3284,1457,924,444,8773,3084,5689,2760,1978,782,2,0,110123,11,DAVIS
1766,7067.815072,453.5170023,76192,76192,0,0,0,0,0,0,102.6375,92.45942572,1170.167037,57.06371935,0,0,134,2,595,26,40.0105351,34.99385722,1400.119777,1235.457534,2.536448872,2.584639192,1378,3,894,19,863,13,2131,164,4497,248,393,55,364,2,230,0,5755,269,5486,552,478,74,31,6,350861,35,SALT LAKE
291,5754.772949,52.54389211,75400,75400,0,0,0,0,0,0,0,0,364.7320958,32.54389211,0,0,258,0,700,0,29.04085329,17,1954.59193,1213.906508,2.354930036,2.487513337,285,1,1497,0,1497,0,275,1,2705,3,1445,1,1159,0,901,0,5361,3,5358,830,488,342,0,0,570138,57,WEBER
1808,6323.097941,754.951405,37668,37668,0,0,0,0,0,0,0,0,401.050006,212.9151679,0,0,97,4,96,7,182.0479347,127.0362371,6204.944297,4404.848136,2.477023671,2.508455658,130,4,1000,10,587,1,992,49,4195,374,2977,314,545,31,448,27,5740,415,5325,2505,1756,749,413,9,350903,35,SALT LAKE
2141,9920.48783,4683.575648,148008,148008,0,0,0,0,0,0,0,0,385.48783,376.5756476,0,0,2666,88,2886,1819,0,0,0,0,0,0,3969,2400,0,0,0,0,10,0,6869,4219,4,0,2666,88,0,0,9535,4307,5228,0,0,0,0,0,351236,35,SALT LAKE
955,13307.64556,7940.512601,45129,45129,0,0,0,0,0,0,0,0,696.6455625,534.5126009,0,0,364,35,5935,4514,0,0,0,0,0,0,64,5,2714,1125,1262,654,1960,1253,9532,6245,1573,473,365,36,1,1,12611,7406,5205,0,0,0,1452,471,350050,35,SALT LAKE
1103,5464.508491,0,45129,45129,0,0,0,0,0,0,0,0,278.5084909,0,0,0,5,0,2744,0,0,0,0,0,0,0,1,0,209,0,22,0,23,0,4970,0,2202,0,7,0,2,0,5186,0,5186,0,0,0,187,0,350198,35,SALT LAKE
