TAZID,ALLEMP_Max,ALLEMP_Min,AVGINCOME_Max,AVGINCOME_Min,Enrol_Elem_Max,Enrol_Elem_Min,Enrol_High_Max,Enrol_High_Min,Enrol_Midl_Max,Enrol_Midl_Min,FM_AGRI_Max,FM_AGRI_Min,FM_CONS_Max,FM_CONS_Min,FM_MING_Max,FM_MING_Min,FOOD_Max,FOOD_Min,GVED_Max,GVED_Min,HBJ_Max,HBJ_Min,HHPOP_Max,HHPOP_Min,HHSIZE_Max,HHSIZE_Min,HLTH_Max,HLTH_Min,INDEMP_Max,INDEMP_Min,MANU_Max,MANU_Min,OFFI_Max,OFFI_Min,OTHEMP_Max,OTHEMP_Min,OTHR_Max,OTHR_Min,RETEMP_Max,RETEMP_Min,RETL_Max,RETL_Min,TOTEMP_Max,TOTEMP_Min,TOTEMP_Range,TOTHH_Max,TOTHH_Min,TOTHH_Range,WSLE_Max,WSLE_Min,CO_TAZID,CO_FIPS,CO_NAME
2968,5890.814928,4103.947327,37024,37024,0,0,0,0,0,0,0,0,279.8145138,217.9469543,0,0,1175,988,143,81,10.00041372,1.00037247,435.3331493,62.82578965,2.687241662,3.141289483,1291,714,73,51,42,33,1980,1242,4312,2822,898,785,1216,1012,41,24,5601,3885,1716,162,20,142,31,18,490752,49,UTAH
2288,2685.273442,839.3001094,81720,81720,0,0,0,0,0,0,7.045440495,7.004302397,185.228001,51.29580699,0,0,809,211,830,478,0,0,0,0,0,0,72,1,95,11,3,0,427,17,1548,559,219,63,850,211,41,0,2493,781,1712,0,0,0,92,11,490072,49,UTAH
2312,2067.274338,211.4795421,66402,66402,0,0,0,0,0,0,4.019753086,3.001843884,186.241831,37.47273131,0,0,535,2,239,84,14.01275362,10.00496689,792.963587,506.7624914,3.403277197,3.187185481,388,17,30,3,17,3,142,24,945,156,176,31,888,2,353,0,1863,161,1702,233,159,74,13,0,490096,49,UTAH
2474,2047.723064,195.9661577,96951,96951,0,0,0,0,0,0,3.019474498,2.006779661,205.6890138,58.95453589,0,0,3,0,247,36,16.01457557,13.00484211,866.9652254,647.7811452,3.321705844,2.957904772,878,4,32,1,31,1,235,8,1734,121,374,73,57,0,54,0,1823,122,1701,261,219,42,1,0,490258,49,UTAH
2184,1898.727224,105.4348871,96281,96281,0,0,0,0,0,0,0,0,107.7166014,36.43032175,0,0,33,0,29,8,44.01062265,16.00456531,1588.054733,583.4115013,2.590627623,2.700979173,1,0,25,22,2,0,86,6,1093,22,977,8,629,9,596,9,1747,53,1694,613,216,397,23,22,351279,35,SALT LAKE
3001,1844.391313,65.31934245,56681,56681,0,0,0,0,0,0,0,0,103.3562876,38.31822541,0,0,66,0,5,0,47.03502525,27.00111704,2168.369143,1219.521483,2.794290133,2.746670007,80,0,30,0,29,0,931,0,1435,0,419,0,229,0,163,0,1694,0,1694,776,444,332,1,0,490785,49,UTAH
599,2139.571633,358.0158106,97179,97179,0,0,0,0,0,0,19.04219097,14.01034738,182.5215908,95.0085552,0,0,332,3,176,23,33.00785153,25.99690807,2072.570745,1704.187905,2.716344358,2.771037245,591,47,90,4,39,1,85,10,1379,199,527,119,436,20,104,17,1905,223,1682,763,615,148,51,3,110018,11,DAVIS
2033,2131.388524,362.5053536,86391,86391,0,0,0,0,0,0,0,0,128.3743019,55.5157949,0,0,184,8,26,10,54.01422238,33.98955866,2082.31315,1399.278797,2.79130449,2.996314341,368,1,97,42,21,4,281,1,1014,97,339,85,838,134,654,126,1949,273,1676,746,467,279,76,38,351128,35,SALT LAKE
1573,5109.888576,3353.920589,58856,58856,0,0,0,0,0,0,4.025,4.019975031,278.8575841,197.9067555,0,0,82,46,1336,1224,21.00599197,19.99385803,772.908972,763.679273,2.721510465,2.717719833,460,160,5,0,4,0,391,149,4649,3030,2462,1497,152,102,70,56,4806,3132,1674,284,281,3,1,0,350668,35,SALT LAKE
473,2108.983357,396.956724,74477,74477,0,0,0,0,0,0,2.014836795,0,94.95565338,51.92150562,0,0,379,22,76,21,32.01286691,25.03521835,2086.567222,1694.270485,2.310705673,2.36629956,584,121,20,3,14,2,660,55,1560,292,240,95,400,25,21,3,1980,320,1660,903,716,187,6,1,570320,57,WEBER
2591,3207.555108,1484.980829,85040,85040,0,0,0,0,0,0,2.012982998,2.001229256,166.5421246,99.97959952,0,0,18,6,167,102,0,0,0,0,0,0,146,0,147,41,5,0,932,319,2522,1325,1277,904,370,17,352,11,3039,1383,1656,0,0,0,142,41,490375,49,UTAH
680,2339.477584,564.0274253,96228,96228,0,0,0,0,0,0,1.002220577,0,215.5181493,97.9857636,0,0,78,20,139,90,59.95721417,50.04166171,3827.426265,3227.320535,2.712562909,2.751338904,341,33,44,6,38,3,653,65,1627,358,494,170,392,52,314,32,2063,416,1647,1411,1173,238,6,3,110099,11,DAVIS
958,6752.993146,5031.0415,56502,56502,0,0,0,0,0,0,40.25,39.19475655,348.7431459,269.8467436,0,0,0,0,1163,781,0,0,0,0,0,0,0,0,5006,3814,42,12,38,8,1358,908,157,119,0,0,0,0,6364,4722,1642,0,0,0,4964,3802,350053,35,SALT LAKE
3342,2164.367673,484.5007752,56564,56564,0,0,0,0,0,0,2.012982998,1.003389831,93.32007323,68.49630967,0,0,75,10,241,71,38.03461698,26.00107567,1805.788877,1283.026454,2.912562706,2.969968644,89,9,304,24,199,19,182,29,1217,336,705,227,510,29,435,19,2031,389,1642,620,432,188,105,5,491126,49,UTAH
777,2421.437052,756.6372184,124658,124658,675,675,0,0,0,0,4.002956393,1.995578482,119.4583412,75.63592972,0,0,284,119,103,81,33.97575469,24.00571021,2159.518787,1593.529263,2.7129633,2.825406494,715,123,12,1,8,1,429,72,1746,460,499,184,506,194,222,75,2264,655,1609,796,564,232,4,0,110196,11,DAVIS
1132,2696.389981,1032.16246,50921,50921,0,0,0,0,0,0,0,0,139.3961238,89.1686024,0,0,237,40,2,0,39.99385709,34.99385722,1412.592627,1242.166867,2.536072939,2.58784764,718,224,11,7,11,7,639,402,2203,840,844,214,303,61,66,21,2517,908,1609,557,480,77,0,0,350227,35,SALT LAKE
1794,2238.707658,558.9568658,86602,86602,0,0,0,0,0,0,0,0,147.6938967,73.96529018,0,0,235,139,13,9,57.01376117,47.99157562,1681.555913,1349.351983,2.153080554,2.050686904,100,34,17,3,2,1,174,63,1054,258,767,152,963,176,728,37,2034,437,1597,781,658,123,15,2,350889,35,SALT LAKE
3476,1768.577049,110.14833,67754,67754,0,0,0,0,0,0,2.012982998,2.001229256,92.56257615,29.14635549,0,0,22,0,223,35,3.001490066,1.000745218,146.7237503,28.22827319,2.934475005,2.352356099,415,8,34,1,8,1,383,13,1217,77,196,21,420,0,398,0,1671,78,1593,50,12,38,26,0,491260,49,UTAH
2410,2669.365498,992.2657648,81720,81720,0,0,0,0,0,0,4.025965997,4.002458513,162.3386206,75.26326489,0,0,88,0,446,134,1.000910973,1.000041372,79.0606026,44.7188976,3.437417504,3.7265748,1357,764,42,0,15,0,272,4,2340,912,265,10,120,0,32,0,2502,912,1590,23,12,11,27,0,490194,49,UTAH
3331,1844.606268,199.1274699,75589,75589,0,0,0,0,0,0,3.019474498,3.001843884,71.58314993,18.12479826,0,0,7,1,132,11,4.003643892,2.000827746,189.2622419,118.6156249,2.867609726,3.294878469,35,2,29,0,26,0,712,23,1096,106,217,70,641,70,634,69,1766,176,1590,66,36,30,3,0,491115,49,UTAH
2311,2092.097941,441.2321651,81720,81720,0,0,0,0,0,0,2.012982998,2.001229256,107.0814807,45.22886645,0,0,822,231,307,125,7.003476821,5.002069365,343.6266132,241.6548419,3.014268537,3.098138999,364,6,25,1,15,1,77,8,889,157,141,18,1062,231,240,0,1976,389,1587,114,78,36,10,0,490095,49,UTAH
1853,3475.509311,1645.501097,78260,78260,0,0,0,0,0,0,0,0,418.4786501,185.5361063,0,0,155,115,116,86,127.0306608,113.9649908,4428.140419,3966.727995,2.520284814,2.520157557,226,140,1,0,0,0,301,210,2171,1126,1528,690,758,220,603,105,2930,1346,1584,1757,1574,183,1,0,350948,35,SALT LAKE
2650,2262.755897,643.7163356,128261,128261,0,0,0,0,0,0,4.025965997,4.002458513,93.72844117,55.71304938,0,0,27,12,755,330,3.001490066,2.000827746,149.0353361,74.47187322,2.661345288,2.659709758,30,0,383,196,379,196,695,38,1732,374,252,6,47,12,20,0,2162,582,1580,56,28,28,4,0,490434,49,UTAH
3007,4115.904991,2498.074987,48358,48358,0,0,0,0,0,0,0,0,198.8846269,165.0625708,0,0,416,235,116,51,41.02036424,30.01241619,1838.23805,1346.399469,2.755979086,2.747754018,1233,568,43,6,16,6,1803,1408,3408,2062,256,35,425,235,9,0,3876,2303,1573,667,490,177,27,0,490791,49,UTAH
1434,2070.04518,446.755279,79063,79063,0,0,0,0,0,0,22.10986267,19.10680824,139.9506742,102.6639154,0,0,19,2,185,44,99.98464272,87.98455531,3699.236274,3170.72869,2.68449657,2.620436934,7,0,976,106,966,106,121,8,578,124,265,72,254,7,235,5,1808,237,1571,1378,1210,168,10,0,350529,35,SALT LAKE
2792,2903.277773,1317.805755,76529,76529,0,0,0,0,0,0,0,0,107.2777732,91.80575526,0,0,0,0,291,168,0,0,0,0,0,0,1,0,273,75,204,72,1051,450,2413,1146,1070,528,110,5,110,5,2796,1226,1570,0,0,0,69,3,490576,49,UTAH
1548,3041.921689,1425.481741,62016,62016,0,0,0,0,0,0,0,0,151.9137223,103.4733132,0,0,40,23,49,26,33.00796699,32.00842808,807.8836465,764.488262,1.76009509,1.72182041,366,157,72,1,3,0,643,152,2537,1214,1479,879,248,75,208,52,2857,1290,1567,459,444,15,69,1,350643,35,SALT LAKE
1634,15389.02769,13707.35008,41809,41809,0,0,0,0,0,0,0,0,816.0188423,726.3500815,0,0,7,3,321,293,31.00884528,0,1100.949459,0,2.608884975,0,13447,12158,3,0,0,0,287,207,14216,12717,161,59,323,264,316,261,14542,12981,1561,422,0,422,3,0,350729,35,SALT LAKE
2321,1854.381479,266.2141161,81720,81720,0,0,0,0,0,0,3.019474498,3.001843884,66.36200437,32.21227219,0,0,592,106,477,78,0,0,0,0,0,0,176,17,15,0,8,0,282,15,1149,124,214,14,621,107,29,1,1785,231,1554,0,0,0,7,0,490105,49,UTAH
3463,2045.487239,373.2110816,52410,52410,0,0,0,0,0,0,2.012982998,2.001229256,142.4742559,24.20985237,0,0,12,0,374,123,0,0,1,1,1,1,484,16,69,0,13,0,527,167,1790,347,405,41,42,0,30,0,1901,347,1554,1,1,0,56,0,491247,49,UTAH
3335,2089.439733,446.4024918,75589,75589,0,0,0,0,0,0,7.045440495,7.004302397,120.3897398,31.39222766,0,0,7,0,369,97,11.0045526,8.005961745,469.8428846,330.5263319,2.654479574,2.395118347,289,212,98,30,28,15,508,0,1668,345,502,36,185,25,178,25,1951,400,1551,177,138,39,70,15,491119,49,UTAH
2069,2376.700609,740.9541218,84793,84793,641,641,0,0,0,0,0,0,189.6700568,119.9264446,0,0,160,67,75,50,116.0305518,97.02767718,4202.283842,3568.34786,2.629714544,2.653046736,520,27,31,27,6,4,145,15,1471,256,731,164,569,241,409,174,2071,524,1547,1598,1345,253,25,23,351164,35,SALT LAKE
1600,2410.939131,781.4465887,51097,51097,0,0,0,0,0,0,0,0,177.9544883,106.4223355,0,0,135,35,22,5,99.98464272,85.0242532,3472.563285,2939.350977,2.505456915,2.507978649,758,284,6,1,2,1,44,14,1258,462,434,159,869,127,734,92,2133,590,1543,1386,1172,214,4,0,350695,35,SALT LAKE
278,2697.605192,1108.267716,77863,77863,0,0,0,0,0,0,1.007418398,0,130.5583291,84.23632787,0,0,521,103,347,275,28.03944456,26.03138833,1961.562444,1829.59511,2.439754283,2.485862921,330,163,54,1,52,1,18,4,960,559,265,117,1524,438,1003,335,2538,998,1540,804,736,68,2,0,570125,57,WEBER
1085,3387.512421,1788.218306,39970,39970,0,0,0,0,0,0,0,0,201.5068905,146.2209169,0,0,285,139,215,208,21.00553092,16.99738926,579.3994463,416.0712781,1.96406592,1.809005557,486,253,4,1,4,1,1867,868,2853,1483,285,154,308,141,23,2,3165,1625,1540,295,230,65,0,0,350180,35,SALT LAKE
1146,2409.403063,793.9967525,22976,22976,0,0,0,0,0,0,0,0,142.4082849,68.99095834,0,0,59,15,133,128,33.99477853,24.00579418,886.8905107,542.3301879,1.903198521,1.628619183,179,44,7,4,6,4,1194,286,2146,674,640,216,80,23,21,8,2233,701,1532,466,333,133,1,0,350241,35,SALT LAKE
2040,1748.766498,153.0856503,86391,86391,0,0,0,0,0,0,0,0,103.7485219,49.10161939,0,0,245,4,13,4,63.0179759,51.98403089,2431.430091,2029.974983,2.788337261,2.855098429,291,0,9,0,2,0,89,0,772,33,379,29,801,19,556,15,1582,52,1530,872,711,161,7,0,351135,35,SALT LAKE
860,1780.521078,169.1718881,86612,86612,0,0,0,0,0,0,4.008882309,2.986764706,104.4780331,41.18036487,0,0,16,1,213,19,41.0341626,20.00475851,2453.70216,1252.802563,2.521790504,2.665537367,22,0,210,3,3,0,250,38,1153,94,668,37,268,8,252,7,1631,105,1526,973,470,503,207,3,110279,11,DAVIS
1343,3093.312642,1445.419644,69745,69745,0,0,0,0,0,0,0,0,203.3126419,76.4196437,0,0,5,0,75,26,0,0,0,0,0,0,13,0,2,0,2,0,1092,553,2547,1365,1367,786,341,4,336,4,2890,1369,1521,0,0,0,0,0,350438,35,SALT LAKE
3052,2593.784465,960.2525104,45247,45247,0,0,0,0,0,0,3.014814815,2.006779661,187.7696504,64.24573076,0,0,116,32,107,56,0,0,0,0,0,0,22,6,36,2,19,1,469,67,1536,633,938,504,831,259,715,227,2403,894,1509,0,0,0,17,1,490836,49,UTAH
2326,2286.603886,726.1776776,81720,81720,0,0,0,0,0,0,6.005533354,5.003073141,118.5764891,72.16789997,0,0,28,0,403,209,24.02186335,18.00670447,1166.305987,928.433342,2.967699713,3.212572118,573,254,63,0,10,0,402,51,1878,605,500,91,197,26,169,26,2138,631,1507,393,289,104,53,0,490110,49,UTAH
1437,2384.199514,808.7668774,99059,99059,0,0,0,0,0,0,8.05,5.024968789,152.1358184,85.74851222,0,0,93,68,167,11,52.01369562,42.99339637,1835.561209,1492.208224,2.574419649,2.516371373,29,9,4,0,3,0,7,3,495,161,292,138,1673,514,1580,446,2172,675,1497,713,593,120,1,0,350532,35,SALT LAKE
1729,1804.500574,261.7038663,98769,98769,0,0,0,0,0,0,4.025,1.004993758,124.4932998,89.72681845,0,0,139,7,22,6,100.9822737,90.97205405,4074.816717,3693.239119,2.935746914,2.956956861,243,1,48,1,29,1,668,15,1208,72,275,50,319,7,180,0,1575,80,1495,1388,1249,139,19,0,350824,35,SALT LAKE
1040,2404.631161,833.9448094,39970,39970,0,0,0,0,0,0,0,0,128.6304368,44.94480937,0,0,61,3,26,19,3.000724272,0,87.51781954,0,2.134580964,0,224,14,1,0,0,0,1318,437,2190,779,622,309,82,10,21,7,2273,789,1484,41,0,41,1,0,350135,35,SALT LAKE
1087,3465.519263,1872.57016,39970,39970,0,0,0,0,0,0,0,0,219.5214126,108.5723094,0,0,87,30,48,29,13.99784998,6.997850311,262.1465148,131.0148712,1.394396355,1.43972386,409,201,2,1,2,1,1668,782,3095,1698,970,686,135,58,48,28,3232,1757,1475,188,91,97,0,0,350182,35,SALT LAKE
1760,3204.79089,1652.537725,71395,71395,0,0,414,414,0,0,0,0,206.8037897,144.558915,0,0,32,23,49,41,83.98709989,68.97881021,3050.736128,2636.80794,2.629944938,2.775587306,1164,953,82,11,34,0,195,86,1971,1267,563,187,861,161,829,138,2914,1439,1475,1160,950,210,48,11,350855,35,SALT LAKE
1617,2311.666432,784.8717132,57188,57188,0,0,0,0,0,0,0,0,146.6413228,104.8848763,0,0,68,10,29,15,88.02510919,74.98683691,3039.0703,2577.666831,2.511628347,2.507458007,6,3,117,15,53,8,528,39,1447,360,884,303,513,230,445,220,2077,605,1472,1210,1028,182,64,7,350712,35,SALT LAKE
2793,2225.072546,627.342515,76529,76529,0,0,0,0,0,0,0,0,173.0725457,41.34251504,0,0,7,0,195,82,0,0,0,0,0,0,32,0,517,64,492,64,892,383,1518,522,399,57,17,0,10,0,2052,586,1466,0,0,0,25,0,490577,49,UTAH
519,2821.816037,1278.51344,45697,45697,0,0,0,0,0,0,0,0,142.8089933,66.51344034,0,0,128,106,27,11,5.007043671,3,372.1464884,188.2203242,2.44833216,2.382535749,200,17,3,0,1,0,434,156,1437,729,776,545,1234,480,1106,374,2674,1209,1465,152,79,73,2,0,570366,57,WEBER
1974,3441.293781,1963.655831,111741,111741,0,0,0,0,0,0,18.1125,17.08489388,255.1412046,250.6197662,0,0,4,0,134,112,166.0400764,158.9511714,5391.244977,5118.172886,2.360440007,2.328559093,567,229,783,494,643,444,1005,443,2047,1011,341,227,172,32,168,32,3002,1537,1465,2284,2198,86,140,50,351069,35,SALT LAKE
2287,2499.438494,978.9563339,81720,81720,0,0,0,0,0,0,6.038948995,6.003687769,147.3840581,91.95194277,0,0,418,24,857,494,17.01548654,17.00070332,625.4231882,579.6765848,2.20997593,2.123357454,68,1,290,67,6,1,182,25,1611,773,504,253,428,24,10,0,2329,864,1465,283,273,10,284,66,490071,49,UTAH
3011,2112.837453,599.9073933,34038,34038,0,0,0,0,0,0,0,0,98.82329895,57.89025332,0,0,88,13,37,7,38.01415387,23.01714002,1717.65652,1041.670957,2.788403442,2.74123936,398,54,80,14,73,14,1179,376,1794,488,180,51,102,17,14,4,1976,519,1457,616,380,236,7,0,490795,49,UTAH
1154,1852.174709,329.7572028,46301,46301,0,0,0,0,0,0,0,0,110.1670046,38.75213285,0,0,128,5,1,0,27.00770396,21.0050699,863.3151608,626.1663051,2.277876414,2.129817364,200,8,2,0,0,0,1226,215,1556,262,129,39,157,8,29,3,1715,270,1445,379,294,85,2,0,350249,35,SALT LAKE
1796,2241.3869,740.1860125,40745,40745,0,0,0,0,0,0,0,0,137.3753117,92.1923308,0,0,417,174,5,0,48.01158835,35.99368172,1330.420497,997.45686,2.012739027,1.986965857,230,18,4,0,1,0,241,41,1006,218,530,159,1046,394,629,220,2056,612,1444,661,502,159,3,0,350891,35,SALT LAKE
622,2175.061097,679.5339453,66155,66155,299,299,0,0,0,0,0,0,128.0319339,81.52728339,0,0,15,0,113,79,35.02916319,28.00666191,2010.148058,1657.778194,2.472506836,2.534829042,303,72,2,0,0,0,350,108,1051,451,285,192,959,119,944,119,2012,570,1442,813,654,159,2,0,110041,11,DAVIS
2730,3424.768714,1931.837542,83312,83312,0,0,0,0,0,0,8.051931994,7.004302397,164.7138011,115.8324945,0,0,13,1,456,179,4.002980873,2.000744941,212.3168099,62.6196149,3.168907611,2.504784596,7,0,948,649,368,208,33,4,1680,902,1184,719,620,256,607,255,3248,1807,1441,67,25,42,580,441,490514,49,UTAH
1037,4578.986254,3039.258382,50921,50921,0,0,0,0,0,0,0,0,286.9816883,188.2600712,0,0,411,211,111,81,16.00456531,10.9983107,428.2151509,223.5118818,1.928897076,1.460861972,149,71,1,0,1,0,2967,1899,3859,2629,632,578,416,211,5,0,4276,2840,1436,222,153,69,0,0,350132,35,SALT LAKE
3464,1527.872621,7.102343155,52410,52410,0,0,0,0,0,0,5.032457496,5.003073141,90.83925211,1.099270014,0,0,4,0,388,0,1.000910973,0,64.30254102,1,2.795762653,1,401,0,13,0,11,0,432,1,1409,1,188,0,9,0,5,0,1431,1,1430,23,1,22,2,0,491248,49,UTAH
1960,6355.067125,4857.068652,78447,78447,0,0,0,0,0,0,0,0,375.046604,316.0492492,0,0,140,61,167,152,85.02052104,68.01940256,3030.779852,2395.658799,2.575004122,2.564945181,154,110,3808,3701,3757,3677,96,31,1373,479,956,186,714,293,574,232,5895,4473,1422,1177,934,243,51,24,351055,35,SALT LAKE
1140,2693.939591,1215.616058,22976,22976,0,0,0,0,408,408,0,0,143.9318866,82.61974372,0,0,203,38,99,96,27.00770396,20.99631433,739.4115013,561.0083225,1.987665326,1.921261378,486,55,29,27,29,27,410,67,2212,982,1217,764,282,103,79,65,2523,1112,1411,372,292,80,0,0,350235,35,SALT LAKE
1070,3080.417732,1615.7841,42543,42543,0,0,0,0,0,0,0,0,159.4214173,97.78532849,0,0,643,286,168,162,11.99631482,7.998771418,321.3374429,175.3230474,1.995884739,1.638533154,129,8,122,94,122,94,1167,516,2136,1130,672,444,651,286,8,0,2909,1510,1399,161,107,54,0,0,350165,35,SALT LAKE
1069,3205.751175,1765.719635,42543,42543,0,0,0,0,0,0,0,0,172.139431,129.0920937,1.621263715,1.621263715,541,200,6,0,30.99047995,22.0062773,721.2035166,475.0879957,1.673326025,1.56794718,231,82,19,0,11,0,1473,870,2399,1405,689,453,583,208,42,8,3001,1613,1388,431,303,128,8,0,350164,35,SALT LAKE
1589,3686.00654,2158.223914,46164,46164,606,606,0,0,0,0,0,0,310.0184741,171.2062232,0,0,591,413,109,95,67.98806546,62.01769057,2265.400923,2078.864273,2.404884207,2.420098106,213,145,96,32,50,3,67,51,1330,1038,941,747,1882,855,1291,442,3308,1925,1383,942,859,83,46,29,350684,35,SALT LAKE
2515,1606.773328,173.3095552,102760,102760,0,0,0,0,0,0,3.019474498,3.001843884,81.75020998,31.30646972,0,0,3,0,224,59,4.003643892,3.001241619,192.692496,145.7955318,3.107943484,3.313534814,648,3,7,1,4,1,411,63,1506,135,223,10,5,0,2,0,1518,136,1382,62,44,18,3,0,490299,49,UTAH
2074,2675.156051,1224.5829,127846,127846,0,0,0,0,0,0,24.11985019,16.08994379,130.0306481,80.49163932,0,0,494,83,62,11,23.00555275,5.001316887,846.4133563,191.325108,2.661677221,2.855598627,977,612,5,2,1,0,252,77,1984,1037,693,337,509,84,15,1,2498,1123,1375,318,67,251,4,2,351169,35,SALT LAKE
618,1982.242489,561.7517236,81139,81139,0,0,0,0,0,0,8.005912786,4.002956393,126.2268214,89.72853634,0,0,59,6,84,11,41.00975494,34.02023087,2464.823731,2062.549083,2.535826884,2.62077393,27,1,143,67,38,24,142,9,1044,202,791,181,620,165,561,159,1807,434,1373,972,787,185,105,43,110037,11,DAVIS
1445,1841.099426,409.9214846,35942,35942,0,0,0,0,0,0,0,0,105.1069724,58.9140005,0,0,35,3,5,2,42.99245316,31.00748414,1356.557984,938.2423331,2.303154472,2.192154984,32,0,82,9,73,9,607,53,1265,239,621,184,346,72,311,69,1693,320,1373,589,428,161,9,0,350540,35,SALT LAKE
294,3147.557106,1691.60465,68722,68722,328,328,0,0,50,50,3.022255193,2,172.5348505,92.59902036,0,0,337,169,250,170,18,14.00562927,1172.06494,930.8291278,2.271443683,2.411474424,147,24,29,5,18,2,49,12,1380,768,934,562,1545,810,1208,641,2954,1583,1371,516,386,130,11,3,570141,57,WEBER
3056,2283.71499,851.2207802,75945,75945,0,0,0,0,0,0,4.025965997,4.002458513,118.6890245,52.21832173,0,0,13,0,215,139,0,0,0,0,0,0,9,2,145,92,64,29,527,110,1454,521,703,270,562,182,549,182,2161,795,1366,0,0,0,81,63,490840,49,UTAH
1386,3075.470454,1662.7669,41157,41157,840,840,0,0,0,0,0,0,202.4496915,164.777957,0,0,74,41,100,73,86.02076246,71.98894276,2801.406342,2290.471716,2.354122977,2.313607794,64,49,97,87,29,25,240,91,1726,1052,1322,839,964,287,890,246,2787,1426,1361,1190,990,200,68,62,350481,35,SALT LAKE
1186,1842.172824,419.7953653,19046,19046,0,0,0,0,0,0,0,0,109.1582717,53.80166179,0,0,12,3,8,2,51.01455192,40.99370352,1743.610742,1357.438498,2.4697036,2.423997317,8,0,345,59,224,54,143,36,991,239,832,201,346,27,334,24,1682,325,1357,706,560,146,121,5,350281,35,SALT LAKE
665,1791.350996,386.1138083,60917,60917,711,711,0,0,0,0,2.008902077,0,135.3475644,89.10381547,0,0,162,5,124,44,45.99452967,42.00999286,3201.970717,2927.119269,2.937587813,2.986856397,50,18,65,14,32,6,52,3,1212,221,986,156,331,20,169,15,1608,255,1353,1090,980,110,33,8,110084,11,DAVIS
2004,1527.629123,125.9876217,111741,111741,0,0,0,0,0,0,6.029962547,3.014981273,96.61179709,53.95446742,0,0,143,0,32,0,71.98736343,69.01817304,2565.781637,2407.343812,2.583868718,2.5447609,683,0,140,0,140,0,37,0,858,0,106,0,355,0,212,0,1353,0,1353,993,946,47,0,0,351099,35,SALT LAKE
2389,1970.287596,488.3263081,81720,81720,0,0,0,0,0,0,3.019474498,3.001843884,183.2681215,54.32446421,0,0,70,0,269,110,0,0,0,0,0,0,485,144,8,0,7,0,526,109,1465,391,185,28,311,40,241,40,1784,431,1353,0,0,0,1,0,490173,49,UTAH
282,2038.135241,621.5108065,75400,75400,0,0,0,0,0,0,2.005908419,0,126.0758002,65.46290952,0,0,202,8,158,87,38.0535319,34.04789696,2605.612316,2307.30283,2.381729722,2.386042224,624,2,52,18,39,10,332,27,1569,462,455,346,251,42,49,34,1872,522,1350,1094,967,127,13,8,570129,57,WEBER
2301,1522.402479,63.29965581,66402,66402,0,0,0,0,0,0,5.024691358,3.002766677,164.3751805,55.29680639,0,0,557,0,190,1,7.002607292,2.000082744,328.082451,126.1711125,2.955697757,3.23515673,219,0,6,0,5,0,235,0,778,3,134,2,562,0,5,0,1346,3,1343,111,39,72,1,0,490085,49,UTAH
737,1796.883156,412.2983409,57395,57395,533,533,0,0,0,0,1.004451039,0.995588235,112.8836999,70.29418732,0,0,112,20,40,19,41.99500535,36.00856531,2611.985071,2208.478592,2.630397856,2.586040506,222,4,24,19,23,19,264,27,1024,250,498,200,593,36,481,16,1641,305,1336,993,854,139,1,0,110156,11,DAVIS
1721,7331.880848,5909.815285,83407,83407,0,0,0,0,0,0,0,0,404.8808483,317.8152851,0,0,1341,1048,392,377,0,0,0,0,0,0,346,259,6,0,5,0,1133,772,2823,2150,952,742,4098,3442,2757,2394,6927,5592,1335,0,0,0,1,0,350816,35,SALT LAKE
862,2001.248919,585.9670182,91485,91485,0,0,0,0,0,0,11.00813008,6.00443459,214.2539893,148.903081,0,0,43,9,90,17,110.9867999,100.0595026,6864.913377,6289.762539,2.638321821,2.668545837,7,1,551,98,19,4,97,18,706,152,512,116,408,81,365,72,1665,331,1334,2602,2357,245,532,94,110281,11,DAVIS
3000,1723.642278,339.9669088,56681,56681,0,0,0,0,0,0,0,0,94.6184372,57.94157135,0,0,7,0,23,2,48.02384106,34.02533742,2195.125204,1550.137611,2.768127622,2.778024392,9,1,290,85,283,84,520,10,983,151,431,138,308,12,301,12,1581,248,1333,793,558,235,7,1,490784,49,UTAH
3146,1731.466905,279.7350086,58032,58032,0,0,0,0,0,0,2.009876543,1.000614628,153.4441985,39.71427311,0,0,7,0,284,13,31.01283006,27.02012089,1546.645869,1331.292674,3.026704245,3.039480991,7,5,64,25,26,16,366,21,1180,139,523,100,301,48,294,48,1545,212,1333,511,438,73,38,9,490930,49,UTAH
3344,1682.323667,283.7713102,30043,30043,0,0,0,0,0,0,2.009876543,1.000922226,111.3005467,51.76931231,0,0,20,1,65,32,32.01324394,26.00107567,1524.239173,1178.139406,2.908853383,2.772092719,88,0,30,0,27,0,350,25,892,131,389,74,615,74,595,73,1537,205,1332,524,425,99,3,0,491128,49,UTAH
1042,2559.569225,1183.111467,25840,25840,0,0,0,0,0,0,0,0,124.5644839,80.11377089,0,0,33,12,45,1,18.00474079,14.99769641,532.1998746,408.4471589,2.137348894,2.022015638,567,305,11,1,7,1,862,548,2367,1073,893,219,39,14,6,2,2417,1088,1329,249,202,47,4,0,350137,35,SALT LAKE
2394,1506.243906,128.6500487,81720,81720,0,0,0,0,0,0,3.019474498,2.001844451,66.22294129,20.64816291,0,0,7,0,187,34,4.001489881,1.000041372,177.4017337,37.37836197,2.956695562,2.875258613,323,0,32,0,5,0,574,60,1375,105,291,11,26,0,19,0,1433,105,1328,60,13,47,27,0,490178,49,UTAH
