;TAZID,CO_TAZID,CO_FIPS,CO_NAME
1,30001,3,BOX ELDER
2,30002,3,BOX ELDER
3,30003,3,BOX ELDER
4,30004,3,BOX ELDER
5,30005,3,BOX ELDER
6,30006,3,BOX ELDER
7,30007,3,BOX ELDER
8,30008,3,BOX ELDER
9,30009,3,BOX ELDER
10,30010,3,BOX ELDER
11,30011,3,BOX ELDER
12,30012,3,BOX ELDER
13,30013,3,BOX ELDER
14,30014,3,BOX ELDER
15,30015,3,BOX ELDER
16,30016,3,BOX ELDER
17,30017,3,BOX ELDER
18,30018,3,BOX ELDER
19,30019,3,BOX ELDER
20,30020,3,BOX ELDER
21,30021,3,BOX ELDER
22,30022,3,BOX ELDER
23,30023,3,BOX ELDER
24,30024,3,BOX ELDER
25,30025,3,BOX ELDER
26,30026,3,BOX ELDER
27,30027,3,BOX ELDER
28,30028,3,BOX ELDER
29,30029,3,BOX ELDER
30,30030,3,BOX ELDER
31,30031,3,BOX ELDER
32,30032,3,BOX ELDER
33,30033,3,BOX ELDER
34,30034,3,BOX ELDER
35,30035,3,BOX ELDER
36,30036,3,BOX ELDER
37,30037,3,BOX ELDER
38,30038,3,BOX ELDER
39,30039,3,BOX ELDER
40,30040,3,BOX ELDER
41,30041,3,BOX ELDER
42,30042,3,BOX ELDER
43,30043,3,BOX ELDER
44,30044,3,BOX ELDER
45,30045,3,BOX ELDER
46,30046,3,BOX ELDER
47,30047,3,BOX ELDER
48,30048,3,BOX ELDER
49,30049,3,BOX ELDER
50,30050,3,BOX ELDER
51,30051,3,BOX ELDER
52,30052,3,BOX ELDER
53,30053,3,BOX ELDER
54,30054,3,BOX ELDER
55,30055,3,BOX ELDER
56,30056,3,BOX ELDER
57,30057,3,BOX ELDER
58,30058,3,BOX ELDER
59,30059,3,BOX ELDER
60,30060,3,BOX ELDER
61,30061,3,BOX ELDER
62,30062,3,BOX ELDER
63,30063,3,BOX ELDER
64,30064,3,BOX ELDER
65,30065,3,BOX ELDER
66,30066,3,BOX ELDER
67,30067,3,BOX ELDER
68,30068,3,BOX ELDER
69,30069,3,BOX ELDER
70,30070,3,BOX ELDER
71,30071,3,BOX ELDER
72,30072,3,BOX ELDER
73,30073,3,BOX ELDER
74,30074,3,BOX ELDER
75,30075,3,BOX ELDER
76,30076,3,BOX ELDER
77,30077,3,BOX ELDER
78,30078,3,BOX ELDER
79,30079,3,BOX ELDER
80,30080,3,BOX ELDER
81,30081,3,BOX ELDER
82,30082,3,BOX ELDER
83,30083,3,BOX ELDER
84,30084,3,BOX ELDER
85,30085,3,BOX ELDER
86,30086,3,BOX ELDER
87,30087,3,BOX ELDER
88,30088,3,BOX ELDER
89,30089,3,BOX ELDER
90,30090,3,BOX ELDER
91,30091,3,BOX ELDER
92,30092,3,BOX ELDER
93,30093,3,BOX ELDER
94,30094,3,BOX ELDER
95,30095,3,BOX ELDER
96,30096,3,BOX ELDER
97,30097,3,BOX ELDER
98,30098,3,BOX ELDER
99,30099,3,BOX ELDER
100,30100,3,BOX ELDER
101,30101,3,BOX ELDER
102,30102,3,BOX ELDER
103,30103,3,BOX ELDER
104,30104,3,BOX ELDER
105,30105,3,BOX ELDER
106,30106,3,BOX ELDER
107,30107,3,BOX ELDER
108,30108,3,BOX ELDER
109,30109,3,BOX ELDER
110,30110,3,BOX ELDER
111,30111,3,BOX ELDER
112,30112,3,BOX ELDER
113,30113,3,BOX ELDER
114,30114,3,BOX ELDER
115,30115,3,BOX ELDER
116,30116,3,BOX ELDER
117,30117,3,BOX ELDER
118,30118,3,BOX ELDER
119,30119,3,BOX ELDER
120,30120,3,BOX ELDER
121,30121,3,BOX ELDER
122,30122,3,BOX ELDER
123,30123,3,BOX ELDER
124,30124,3,BOX ELDER
125,30125,3,BOX ELDER
126,30126,3,BOX ELDER
127,30127,3,BOX ELDER
128,30128,3,BOX ELDER
129,30129,3,BOX ELDER
130,30130,3,BOX ELDER
131,30131,3,BOX ELDER
132,30132,3,BOX ELDER
133,30133,3,BOX ELDER
134,30134,3,BOX ELDER
135,30135,3,BOX ELDER
136,30136,3,BOX ELDER
137,30137,3,BOX ELDER
138,30138,3,BOX ELDER
139,30139,3,BOX ELDER
140,30140,3,BOX ELDER
141,30141,3,BOX ELDER
142,30142,3,BOX ELDER
143,30143,3,BOX ELDER
144,30144,3,BOX ELDER
145,30145,3,BOX ELDER
146,30146,3,BOX ELDER
